9.4, 68.0, 0.5, 0.2, 0.2, 0.2, 1.0, 1.6,
9.4, 140.0, 0.8, 0.2, 5100.0903, 1.0, 2.0, 2.8,
9.4, 248.0, 0.4, 0.2, 1.0394908, 0.6, 0.8, 1.2,
9.4, 284.0, 0.8, 0.2, 0.04, 0.08, 0.2, 0.6,
9.4, 315.0, 0.6, 0.75, 0.2, 0.2, 0.4, 0.6,
9.4, 347.0, 0.5, 0.2, 3.6509204, 0.4, 1.2, 2.2,
9.4, 353.0, 0.5, 0.2, 1.2, 1.6, 2.2, 2.6,
9.4, 354.0, 0.5, 0.2, 0.6, 1.2, 2.2, 3.0,
9.4, 361.0, 0.6, 0.2, 0.0, 1.6, 2.0, 2.6,
9.4, 363.0, 0.5, 0.2, 0.2, 0.6, 2.0, 2.8,
9.4, 364.0, 0.6, 0.2, 0.0, 0.0, 0.04, 0.6,
9.4, 367.0, 0.7, 0.2, 0.8, 0.8, 0.2, 0.4,
9.4, 398.0, 0.1, 0.2, 0.6, 0.8, 1.0, 1.2,
9.4, 407.0, 0.5, 0.2, 1.3062811, 0.8, 1.6, 2.4,
9.4, 413.0, 0.5, 0.2, 0.04, 0.2, 0.4, 0.8,
9.4, 415.0, 0.5, 0.2, 0.08, 0.16, 0.4, 0.6,
9.4, 416.0, 0.9, 0.2, 0.2, 0.4, 0.6, 1.0,
9.4, 417.0, 0.01, 0.2, 0.2, 0.16, 0.6, 0.16,
9.4, 418.0, 0.5, 0.2, 0.4, 0.4, 0.4, 0.4,
9.4, 421.0, 0.5, 0.2, 0.2, 0.4, 1.0, 2.0,
9.4, 423.0, 0.6, 0.2, 0.4, 0.8, 1.2, 1.6,
9.4, 452.0, 0.5, 0.2, 0.6, 0.4, 0.6, 0.8,
9.4, 462.0, 0.5, 0.4, 0.08, 0.16, 0.4, 0.4,
9.4, 465.0, 0.5, 0.2, 5.179969, 0.4, 0.8, 1.8,
9.4, 494.0, 0.8, 0.5, 2.0679662, 0.04, 0.08, 0.16,
9.4, 506.0, 0.7, 0.2, 0.2, 0.4, 1.2, 1.8,
9.4, 512.0, 0.5, 0.2, 4.842535, 0.4, 0.8, 1.0,
9.4, 513.0, 0.5, 0.2, 4.842535, 1.6, 2.0, 2.4,
9.4, 514.0, 0.5, 0.2, 4.842535, 1.2, 1.4, 1.6,
9.4, 517.0, 0.5, 0.2, 0.4, 0.8, 1.4, 2.0,
9.4, 520.0, 0.5, 0.2, 0.04, 0.2, 0.4, 0.8,
9.4, 523.0, 0.4, 0.75, 1.2752109, 0.16, 0.2, 0.4,
9.4, 524.0, 0.2, 0.2, 1.147044, 0.4, 0.4, 0.4,
9.4, 547.0, 0.1, 0.2, 6.5778775, 0.08, 0.2, 0.6,
9.4, 548.0, 0.1, 0.2, 6.5778775, 0.8, 1.0, 1.6,
9.4, 549.0, 0.1, 0.75, 6.5778775, 0.4, 0.4, 0.6,
9.4, 550.0, 0.1, 0.2, 2.9426863, 0.16, 0.4, 0.4,
9.4, 551.0, 0.1, 0.2, 0.6, 1.8, 2.8, 3.6,
9.4, 552.0, 0.1, 0.2, 0.8, 1.2, 1.6, 1.6,
9.4, 554.0, 0.1, 0.2, 0.2, 0.4, 1.4, 2.0,
9.4, 556.0, 0.05, 0.2, 82110.77, 0.08, 0.12, 0.2,
9.4, 558.0, 0.1, 0.2, 0.08, 0.2, 0.4, 0.8,
9.4, 564.0, 0.1, 0.2, 0.2, 0.4, 0.6, 0.6,
9.4, 565.0, 0.05, 0.2, 0.2, 0.4, 0.6, 0.6,
9.4, 566.0, 0.2, 0.2, 0.04, 0.12, 0.16, 0.2,
9.4, 567.0, 0.2, 0.2, 0.8, 1.8, 2.8, 2.8,
9.4, 579.0, 0.7, 0.2, 0.16, 0.16, 0.4, 0.4,
