"1.3";68;0,5;0,2;0;10;60;150;300;"Gwałtowny rozwój w 2025 spowodowany będzie wykryciem lekarstwa na HIV dzięki zastosowaniu metod SWD, które wykryją nieznane dotąd połączenia między poszczególnymi chromosomami genów Uwaga techniczna od przepisującego ankietę papierową do systemu: w pytaniu jest mowa o wzroście liczby użytkowników względem roku 2012, natomiast największa możliwa odpowiedź to 100%, co oznaczałoby, że w dowolnym czasie objętym ankietą nie przewiduje się więcej niż 100% więcej użytkowników SWD niż w roku 2012, co jest dosyć pesymistycznym założeniem. Wartości podane przez wypełniającego ankietę wyraźnie odnosiły się do roku 2012 i zakładały 100/110/160/250/1000% wzrost liczby użytkowników, przeliczyłem to na wzrost względem poprzedniej odpowiedzi, żeby wartości mieściły się jako tako w zakresach, chociaż ostatnia wartość i tak się nie mieści.";"jestem raczej pewnien (pewna)"
"1.3";140;0,8;0,2;10;15;;;;;"wyrażam tylko swój subiektywny pogląd"
"1.3";150;0,5;0,2;;;;;15;;"wyrażam tylko swój subiektywny pogląd"
"1.3";248;0,4;0,2;0;3;10;15;25;;"wyrażam tylko swój subiektywny pogląd"
"1.3";284;0,8;0,2;0;10;50;80;100;"Wyższa jakość i większy zakres zastosowań powinien spowodować znaczne powiększenie ilości użytkowników systemu";"jestem raczej pewnien (pewna)"
"1.3";312;0,7;0,2;5;15;25;50;75;"ocena własna - subiektywna";"wyrażam tylko swój subiektywny pogląd"
"1.3";315;0,6;0,75;0;10;30;50;55;;"wyrażam tylko swój subiektywny pogląd"
"1.3";333;0,6;0,2;30;;;;;;"wyrażam tylko swój subiektywny pogląd"
"1.3";335;0,6;0,8;1;2;3;5;10;;"wyrażam tylko swój subiektywny pogląd"
"1.3";344;1;0,5;35;40;45;50;50;;"wyrażam tylko swój subiektywny pogląd"
"1.3";347;0,5;0,2;0;50;150;300;700;"Nie da się ustawić wartości wyższych niż 100, w 2020 powinno tu być 150, w 2025 300, później 700% wzrostu. W tabeli z powiązaniami poniżej wyświetla się tylko 5 pierwszych funkcjonalności oraz kilka pierwszych technologii - nie da się przez to stworzyć powiązań wedle uznania. Wyjaśnienie wybranych wartości: ""Z uwagi na powstanie zaawansowanych systemów i ogólną informatyzację społeczeństwa liczba użytkowników SWD odnotuje dynamiczny wzrost. Istotnym czynnikiem wzrostu będzie rosnąca komputeryzacja medycyny. Największy wzrost odnotowany zostanie w momencie, gdy powstawać zaczną SWD w życiu codziennym""";"jestem raczej pewnien (pewna)"
"1.3";353;0,5;0,2;50;60;70;80;90;;"wyrażam tylko swój subiektywny pogląd"
"1.3";354;0,5;0,2;20;35;65;90;100;"w pewnym momencie każdy chociaż raz go użyje, nie wiąże sie to jednak z przywiązaniem do produktu a raczej koniecznością";"wyrażam tylko swój subiektywny pogląd"
"1.3";361;0,6;0,2;15;20;15;20;25;;"wyrażam tylko swój subiektywny pogląd"
"1.3";363;0,5;0,2;5;10;40;70;80;"Z czasem zwiększać się będzie ilość osób mających styczność z komputerem, oraz ""tworzących"" internet.";"nie jestem pewien,ale chciałbym by tak było"
"1.3";364;0,6;0,2;3;5;5;5;5;"oszacowanie własne na podstawie ogólnej wiedzy";"wyrażam tylko swój subiektywny pogląd"
"1.3";367;0,7;0,2;3;5;30;35;35;"Wraz z rozwojem znacząco zwiększy się liczba użytkowników SWD i unormuje się na tym poziomie";"wyrażam tylko swój subiektywny pogląd"
"1.3";396;0,5;0,75;15;;;;;;"wyrażam tylko swój subiektywny pogląd"
"1.3";398;0,1;0,2;5;10;15;20;30;;"wyrażam tylko swój subiektywny pogląd"
"1.3";405;0,4;0,2;15;20;20;20;20;;"wyrażam tylko swój subiektywny pogląd"
"1.3";407;0,5;0,2;5;10;40;50;100;"Z uwagi na postęp technologiczny będą powstawały techniki coraz bardziej skutecznego automatycznego uczenia systemów eksperckich na podstawie źródeł wiedzy dostępnych już obecnie i tych, które powstaną w przyszłości. Automatyzacja znacznie wpłynie na obniżenie kosztów wprowadzenia SWD co zwiększy liczbę użytkowników. Oferowanie usług w modelu SaaS spowoduje większą dostępność SWD dla mniejszych przedsiębiorstw. Z kolei znalezienie zastosowań i dostosowanie technologiczne SWD do potrzeb zwykłych ludzi w ich codziennym życiu spowoduje prawdziwą eksplozę liczby potencjalnych odbiorców.";"wyrażam tylko swój subiektywny pogląd"
